imgInfo.name,imgInfo.size,name,position,hosipital
阿斯利康-海边-蓝色-MXX.png,1125x4548,史健,教授,河北医科大学第四医院
阿斯利康-海边-蓝色-MXX.png,1125x4548,王海涛,教授,天津医科大学第二医院
阿斯利康-海边-蓝色-MXX.png,1125x4548,朱月,教授,天津市胸科医院讨论嘉宾
阿斯利康-海边-蓝色-MXX.png,1125x4548,王丽丽,教授,天津医科大学第二医院
阿斯利康-海边-蓝色-MXX.png,1125x4548,刘东颖,教授,天津市肿瘤医院
阿斯利康-海边-蓝色-MXX.png,1125x4548,秦建文,教授,天津市胸科医院
阿斯利康-海边-蓝色-MXX.png,1125x4548,郭洪生,教授,天津市第三中心医院
阿斯利康-海边-蓝色-MXX.png,1125x4548,马晖,教授,天津市胸科医院
阿斯利康-海边-蓝色-MXX.png,1125x4548,阎皓,教授,天津市人民医院
爱博诺德-大咖塑语-眼科-儿童-卡通-蓝色-多人-YF.png,1170x3483,张 钰,教授,北京大学第三医院
爱博诺德-大咖塑语-眼科-儿童-卡通-蓝色-多人-YF.png,1170x3483,刘 杨,主任,
爱博诺德-大咖塑语-眼科-儿童-卡通-蓝色-多人-YF.png,1170x3483,陈思萍,主任,温州医科大学附属眼视光医院杭州院区
爱博诺德面面谈新版-眼科-蓝色-ykr.png,1125x2385,王凯教授◆北京大学人民医院眼视光中心主任,医师,教授、眼科学博士、博士研究生导师加州大学伯克利分校眼视光学院博士后、访问学者◆北京
爱博诺德面面谈新版-眼科-蓝色-ykr.png,1125x2385,扫描二维码，关注iBright普诺瞳视频号观看直播，将有机会和王凯,教授,连线交流哦！
晟德睿馨-乳腺癌-简约-黄紫-ZYK.jpg,1080x8716,QQ马飞,教授,中国学成执行主席Q0RREO9()0Q华能修理手清膜(）QiCI
晟德睿馨-乳腺癌-简约-黄紫-ZYK.jpg,1080x8716,讨论嘉克O0OO罗 扬 教接赵卫红授房辉,教授,王仲照教接中国医学利学院Q手和兰波玉大除因网
肺-浅绿-lyl.png,1080x3751,潘跃银,教授,中国科学技术大学附属第一医院
肺-浅绿-lyl.png,1080x3751,陈余清,教授,蚌埠医学院第一附属医院
肺-浅绿-lyl.png,1080x3751,王明喜,教授,蚌埠医学院第一附属医院
肺-浅绿-lyl.png,1080x3751,徐玲玲,教授,安徽省胸科医院
肺-浅绿-lyl.png,1080x3751,江丰收,教授,中国术术技术究学
肺-浅绿-lyl.png,1080x3751,贾伟,教授,中国认术技术梵学
肺-浅绿-lyl.png,1080x3751,陈余清,教授,蚌埠医学院第一附属医院
肺-浅绿-lyl.png,1080x3751,李仲然,教授,芜湖市中医院
肺-浅绿-lyl.png,1080x3751,程刚,教授,亳州市人民医院
费森-商务-蓝色-元素企业提供-zyh.png,1125x3591,楼敏,教授,浙江大学医学院附属第二医院
费森-商务-蓝色-元素企业提供-zyh.png,1125x3591,赵玉武,教授,上海交通大学医学院附属
费森-商务-蓝色-元素企业提供-zyh.png,1125x3591,王志强,主任,福建医科大学附属
费森-商务-蓝色-元素企业提供-zyh.png,1125x3591,周炯,主任,浙江大学医学院附属
费森-商务-蓝色-元素企业提供-zyh.png,1125x3591,曹立,主任,上海交通大学医学院附属
费森-商务-蓝色-元素企业提供-zyh.png,1125x3591,徐惠琴,主任,温州医科大学附属
费森-商务-蓝色-元素企业提供-zyh.png,1125x3591,谢尊椿“,主任,南昌大学第一附属医院
海淀区妇幼-妇女海报-蓝粉色-RJJ.png,1125x5013,王雷,教授,海淀区妇幼保健院
海淀区妇幼-妇女海报-蓝粉色-RJJ.png,1125x5013,王慧禹,教授,海淀区妇幼保健院
海淀区妇幼-妇女海报-蓝粉色-RJJ.png,1125x5013,袁全莲,教授,海淀区妇幼保健院海淀区妇幼保健院海淀区妇幼保健院
海淀区妇幼-妇女海报-蓝粉色-RJJ.png,1125x5013,郭叮叮,教授,
海淀区妇幼-妇女海报-蓝粉色-RJJ.png,1125x5013,赵梓伊,教授,
海淀区妇幼-妇女海报-蓝粉色-RJJ.png,1125x5013,赵伟,教授,海淀区妇幼保健院
